from_chain,from_address,from_token,from_token_symbol,from_amount,Decimals,to_chain,to_address,swap_method
arbitrum,0x1c8ae7860eAE45D561a4F10B3901E52Bf1faC065,0x0000000000000000000000000000000000000000,ETH,7910590118519290 ,18,bevm,0x1c8ae7860eAE45D561a4F10B3901E52Bf1faC065,chainxbridge
arbitrum,0x893e08bdBfa052B5dBC7D712D1973aB51A07E9d5,0x0000000000000000000000000000000000000000,ETH,8659920588296740 ,18,bevm,0x893e08bdBfa052B5dBC7D712D1973aB51A07E9d5,chainxbridge
arbitrum,0xb3f886b0975194E08F94787cdfE06EC5b40fd3aB,0x0000000000000000000000000000000000000000,ETH,6743024599916500 ,18,bevm,0xb3f886b0975194E08F94787cdfE06EC5b40fd3aB,chainxbridge
arbitrum,0x32BFfbdD27C3c58CEf2Ee9eb0115F99627c10A06,0x0000000000000000000000000000000000000000,ETH,8041727389222280 ,18,bevm,0x32BFfbdD27C3c58CEf2Ee9eb0115F99627c10A06,chainxbridge
arbitrum,0xA6309D2ACec58E8ec94Ae1e01787DeF6C6E4D24D,0x0000000000000000000000000000000000000000,ETH,235238134859281000 ,18,bevm,0xA6309D2ACec58E8ec94Ae1e01787DeF6C6E4D24D,chainxbridge
arbitrum,0x201c8AD50497A995D8F7f989463D2bA5B75E0BC8,0x0000000000000000000000000000000000000000,ETH,93525573455417600 ,18,bevm,0x201c8AD50497A995D8F7f989463D2bA5B75E0BC8,chainxbridge
arbitrum,0x9D48C86937B142a23510D24Fa8DB994d8920459c,0x0000000000000000000000000000000000000000,ETH,1815259635051130 ,18,bevm,0x9D48C86937B142a23510D24Fa8DB994d8920459c,chainxbridge
arbitrum,0xe36D7960aEAf9D6f23ef140cA7a5F358d6C78F4b,0x0000000000000000000000000000000000000000,ETH,30525160307379800 ,18,bevm,0xe36D7960aEAf9D6f23ef140cA7a5F358d6C78F4b,chainxbridge
arbitrum,0x4D088Ad930c445838BA840aee236ec7238AcCf16,0x0000000000000000000000000000000000000000,ETH,188560966286137000 ,18,bevm,0x4D088Ad930c445838BA840aee236ec7238AcCf16,chainxbridge
arbitrum,0x1839dc47A4a38Aa456e0b69B3Ca0627ABD743F6A,0x0000000000000000000000000000000000000000,ETH,233345750376262000 ,18,bevm,0x1839dc47A4a38Aa456e0b69B3Ca0627ABD743F6A,chainxbridge
arbitrum,0xF5a11e34D2D09163d16780085cD83D6474A8C735,0x0000000000000000000000000000000000000000,ETH,188561506832560000 ,18,bevm,0xF5a11e34D2D09163d16780085cD83D6474A8C735,chainxbridge
arbitrum,0xC0F39623C2f961815219c42f2DFf3786aA0Ab54E,0x0000000000000000000000000000000000000000,ETH,3125886758309890 ,18,bevm,0xC0F39623C2f961815219c42f2DFf3786aA0Ab54E,chainxbridge
arbitrum,0x876771FA287Af663B7460e724a976c9914954dDB,0x0000000000000000000000000000000000000000,ETH,238341050007516000 ,18,bevm,0x876771FA287Af663B7460e724a976c9914954dDB,chainxbridge
arbitrum,0x20EbDcb0B749ed43668136978866450f8e66C01a,0x0000000000000000000000000000000000000000,ETH,30526408947884200 ,18,bevm,0x20EbDcb0B749ed43668136978866450f8e66C01a,chainxbridge
arbitrum,0xa15F3E00bD213Cd2fbFB990C125575E27E236A3C,0x0000000000000000000000000000000000000000,ETH,230604019931167000 ,18,bevm,0xa15F3E00bD213Cd2fbFB990C125575E27E236A3C,chainxbridge
arbitrum,0x6761872e6f737b8622540931dE3f9fEf24f6DFAB,0x0000000000000000000000000000000000000000,ETH,230603054251078000 ,18,bevm,0x6761872e6f737b8622540931dE3f9fEf24f6DFAB,chainxbridge
arbitrum,0x066B9136171CB8ea3EAA2D313e026f61Ce946e1f,0x0000000000000000000000000000000000000000,ETH,238060504367281000 ,18,bevm,0x066B9136171CB8ea3EAA2D313e026f61Ce946e1f,chainxbridge
arbitrum,0x744EE39a3CB84690c341600B8774a1693369d12b,0x0000000000000000000000000000000000000000,ETH,230603102909149000 ,18,bevm,0x744EE39a3CB84690c341600B8774a1693369d12b,chainxbridge
arbitrum,0xce97D108C89a13F435D94d1aAbC2b5c72b0bBEE4,0x0000000000000000000000000000000000000000,ETH,237039532959293000 ,18,bevm,0xce97D108C89a13F435D94d1aAbC2b5c72b0bBEE4,chainxbridge
arbitrum,0xDac4be360812626fc5caFc9DAEB422A52148116e,0x0000000000000000000000000000000000000000,ETH,49525392239008800 ,18,bevm,0xDac4be360812626fc5caFc9DAEB422A52148116e,chainxbridge
arbitrum,0xb7F6814A432e30BCCB784DaB53aB8ADAffeE461f,0x0000000000000000000000000000000000000000,ETH,701073260761988000 ,18,bevm,0xb7F6814A432e30BCCB784DaB53aB8ADAffeE461f,chainxbridge
arbitrum,0x9EE0998660dc368e445F30A3B2b93E5448CD3DEc,0x0000000000000000000000000000000000000000,ETH,3025955365503510 ,18,bevm,0x9EE0998660dc368e445F30A3B2b93E5448CD3DEc,chainxbridge
arbitrum,0x25021D3748dBF72c21962837cAE04DC1ac66fA89,0x0000000000000000000000000000000000000000,ETH,45525453196895200 ,18,bevm,0x25021D3748dBF72c21962837cAE04DC1ac66fA89,chainxbridge
arbitrum,0x884870BFbf16ED83F2d7eBC05F03D44E5bF8d33c,0x0000000000000000000000000000000000000000,ETH,225598069165433000 ,18,bevm,0x884870BFbf16ED83F2d7eBC05F03D44E5bF8d33c,chainxbridge
arbitrum,0x7E4B3E1faB72623b5588C14a3e8C3B5DaAe4763F,0x0000000000000000000000000000000000000000,ETH,229602095964893000 ,18,bevm,0x7E4B3E1faB72623b5588C14a3e8C3B5DaAe4763F,chainxbridge
arbitrum,0xD4b95D6a813546ca028707F018a3B4fBD5c89013,0x0000000000000000000000000000000000000000,ETH,22525665823978600 ,18,bevm,0xD4b95D6a813546ca028707F018a3B4fBD5c89013,chainxbridge
arbitrum,0x378595e5e289c13F32B07b3d55028895B4A318f5,0x0000000000000000000000000000000000000000,ETH,225598148638024000 ,18,bevm,0x378595e5e289c13F32B07b3d55028895B4A318f5,chainxbridge
arbitrum,0xEc5930E86bF6d69B707d9e3849BBCe420Ecace1b,0x0000000000000000000000000000000000000000,ETH,2025637862742100 ,18,bevm,0xEc5930E86bF6d69B707d9e3849BBCe420Ecace1b,chainxbridge
arbitrum,0x9862B76C447d9Efeb2816B85A34d0235295eE4AC,0x0000000000000000000000000000000000000000,ETH,4025558614006590 ,18,bevm,0x9862B76C447d9Efeb2816B85A34d0235295eE4AC,chainxbridge
optimism,0xA65a02235f9E1E4DB4551c5932463657A61d7d1A,0x0000000000000000000000000000000000000000,ETH,5525863261828820 ,18,bevm,0xA65a02235f9E1E4DB4551c5932463657A61d7d1A,chainxbridge
arbitrum,0x0E2b01Cf8E066AE832e8EC164556fC03cFFbacf5,0x0000000000000000000000000000000000000000,ETH,9501427922879910 ,18,bevm,0x0E2b01Cf8E066AE832e8EC164556fC03cFFbacf5,chainxbridge
arbitrum,0x3c2602D21f1A4d8A49892d37889026A6B2205017,0x0000000000000000000000000000000000000000,ETH,8755852951250490 ,18,bevm,0x3c2602D21f1A4d8A49892d37889026A6B2205017,chainxbridge
arbitrum,0x544A3CC89801E88Bc3ecb89C82d7361dBBb31CF3,0x0000000000000000000000000000000000000000,ETH,7374481160443680 ,18,bevm,0x544A3CC89801E88Bc3ecb89C82d7361dBBb31CF3,chainxbridge
arbitrum,0xA897Bead82bae6d7a0aae84509B873883E760D44,0x0000000000000000000000000000000000000000,ETH,1524560779034040 ,18,bevm,0xA897Bead82bae6d7a0aae84509B873883E760D44,chainxbridge
arbitrum,0x8b375b601c2B5876872D2F81261978997f74b8e7,0x0000000000000000000000000000000000000000,ETH,701075364475013000 ,18,bevm,0x8b375b601c2B5876872D2F81261978997f74b8e7,chainxbridge
arbitrum,0x815B93c8734904A27FA1B2E8Cc4980325D201Fd3,0x0000000000000000000000000000000000000000,ETH,230603206067855000 ,18,bevm,0x815B93c8734904A27FA1B2E8Cc4980325D201Fd3,chainxbridge
arbitrum,0x2d891f7646E0FE5e72aDCe2d55AD44928C13a6bC,0x0000000000000000000000000000000000000000,ETH,236929149869540000 ,18,bevm,0x2d891f7646E0FE5e72aDCe2d55AD44928C13a6bC,chainxbridge
arbitrum,0xE2D35f9E1d52eFEAffe03f2B1DD90e8342517ee2,0x0000000000000000000000000000000000000000,ETH,230603441134784000 ,18,bevm,0xE2D35f9E1d52eFEAffe03f2B1DD90e8342517ee2,chainxbridge
arbitrum,0xda15275531dec4785A045089b72bA61fA749e467,0x0000000000000000000000000000000000000000,ETH,230603325096816000 ,18,bevm,0xda15275531dec4785A045089b72bA61fA749e467,chainxbridge
arbitrum,0x09b7CA4e9F3789Ac4f50dA749328379ebC670015,0x0000000000000000000000000000000000000000,ETH,230603147908264000 ,18,bevm,0x09b7CA4e9F3789Ac4f50dA749328379ebC670015,chainxbridge
arbitrum,0x7A8D714052Fee40F8Ed1Ae0F89D9aBB8D80550B6,0x0000000000000000000000000000000000000000,ETH,100525711954850000 ,18,bevm,0x7A8D714052Fee40F8Ed1Ae0F89D9aBB8D80550B6,chainxbridge
